"STATE","TOT_EMP","JOBS_1000","H_MEAN","A_MEAN","H_PCT10","H_PCT25","H_MEDIAN","H_PCT75","H_PCT90","A_PCT10","A_PCT25","A_MEDIAN","A_PCT75","A_PCT90","SCALED_TOT_EMP","SCALED_A_MEDIAN"
"Nebraska",25100,26.618,33.97,70650,18.06,23.83,32.65,43.1,53.02,37570,49570,67910,89650,110290,-0.542476631629783,-0.395131367895897
"Nevada",16140,13.565,35.77,74400,18.27,24.82,34.29,44.64,56.02,38010,51620,71320,92840,116520,-0.63808640662797,-0.0828867524609206
"New Hampshire",17520,27.937,38.6,80280,20.17,26.92,36.66,47.57,60.78,41960,55990,76250,98940,126420,-0.623360793960838,0.368540213549177
"New Jersey",134440,34.745,44.53,92610,23.36,31.45,42.11,55.53,69.6,48590,65410,87590,115510,144760,0.624261403894973,1.4069138027083
"New Mexico",14890,18.893,35.4,73630,17.47,23.73,33.39,45.1,56.73,36330,49360,69450,93800,118010,-0.651424823898922,-0.254117670602682
"New York",223570,25.374,42.84,89110,20.85,28.62,39.59,53.86,70.21,43360,59540,82350,112030,146030,1.57534390898297,0.927100962567755
"North Carolina",111160,27.577,38.72,80550,19.36,26.86,37.46,48.86,59.84,40260,55860,77910,101620,124470,0.375846720640754,0.520541991150954
"North Dakota",6380,14.477,29.67,61720,17.54,22.14,27.91,35.04,43,36490,46060,58050,72870,89450,-0.742232768679567,-1.29798529991609
"Ohio",129120,24.826,35.66,74160,18.81,25.45,34.68,44.54,54.64,39130,52950,72130,92650,113640,0.567493099989799,-0.00871721037812575
"Oklahoma",27740,17.585,30.83,64130,15.12,20.02,28.53,39.3,49.93,31440,41640,59340,81750,103850,-0.514305894353531,-1.17986343659905
"Oregon",45460,27.005,37.3,77580,19.16,25.74,35.55,46.46,56.98,39850,53540,73940,96640,118520,-0.325220491120508,0.157019667609354
"Pennsylvania",143230,25.333,36.81,76560,18.9,25.36,35.01,46.13,57.91,39310,52750,72830,95950,120450,0.718057154144311,0.0553799247551538
"Rhode Island",13420,28.932,39.1,81330,20.61,27.03,37.83,48.52,59.02,42870,56220,78680,100910,122770,-0.667110802609563,0.591048839797561
"South Carolina",34270,18.264,31.94,66430,16.63,21.9,30.01,40,50.26,34600,45550,62430,83190,104550,-0.444626002530075,-0.89692036865357
"South Dakota",6830,16.698,28.52,59320,16.45,20.53,26.69,34.87,43.76,34210,42700,55510,72520,91020,-0.737430938462024,-1.53056633311399
"Tennessee",46550,16.93,33.6,69900,17.41,23.32,32.27,42.75,52.69,36220,48500,67130,88920,109600,-0.313589391260238,-0.466553889901551
"Texas",332970,29.653,39.23,81600,19.02,26.62,37.16,49.59,62.23,39560,55380,77290,103150,129430,2.74272218853673,0.463770242890049
"Utah",38440,30.018,34.73,72230,15.54,22.89,33.78,44.78,56.12,32330,47620,70260,93150,116730,-0.400129042514178,-0.179948128519887
"Vermont",6560,21.786,34.56,71880,18.22,23.59,31.6,42.03,55,37900,49060,65740,87410,114400,-0.74031203659255,-0.593832486809063
"Virginia",195470,53.575,45.53,94700,23.16,32.22,44.34,57.56,70.69,48170,67020,92220,119730,147040,1.27549628873196,1.830870567947
"Washington",136530,47.106,47.97,99780,24.48,34.6,47.79,59.72,71.77,50920,71970,99410,124230,149290,0.646563237572006,2.48923971310168
"West Virginia",9830,13.893,31.63,65790,15.15,20.51,28.96,40.75,52.8,31510,42660,60230,84750,109820,-0.705418737011738,-1.09836850764388
"Wisconsin",66030,24.207,33.61,69910,18.27,24.3,32.36,41.6,50.37,38000,50550,67320,86540,104760,-0.105723496509714,-0.449156096079661
"Wyoming",2730,9.643,29.63,61630,17.3,21.76,27.33,34.48,43.79,35980,45260,56850,71710,91070,-0.781180947110748,-1.40786610300171
