id	rate
8007	0.000971
8009	0.000099
8011	0.000189
8013	0.066514
8014	0.002681
8015	0.003218
8017	0.000050
8019	0.000091
8021	0.000302
8023	0.000127
8025	0.000212
8027	0.000197
8029	0.004519
8031	0.169496
8033	0.000125
8035	0.012484
8035	0.013779
8037	0.005421
8039	0.000348
8041	0.147071
8043	0.005701
8045	0.004869
8047	0.000073
8049	0.000570
8051	0.000594
8053	0.000043
8055	0.000766
8057	0.000028
8059	0.066319
8063	0.000721
8065	0.000204
8067	0.015485
8069	0.091642
8071	0.000918
8073	0.000089
8075	0.002119
8077	0.029078
8079	0.000041
8081	0.000782
8083	0.002882
8085	0.010224
8087	0.002993
8089	0.003434
8091	0.000478
8093	0.000227
8095	0.000308
8097	0.001212
8099	0.000516
8101	0.052171
8103	0.000192
8105	0.000553
8107	0.003427
8109	0.000054
8111	0.000016
8113	0.000420
8115	0.000204
8117	0.001940
8119	0.001981
8121	0.000079
8123	0.030212
8125	0.001505
9001	0.000025
9001	0.330051
9003	0.390504
9005	0.036791
9007	0.046259
9009	0.394842
9009	0.001451
9011	0.089121
9013	0.017528
9015	0.021546
10001	0.063309
10003	0.232951
10005	0.095076
11001	0.229763
12001	0.209306
12003	0.002595
12005	0.122957
12007	0.003876
12009	0.311975
12011	0.712885
12013	0.001150
12015	0.172346
12017	0.106005
12019	0.069303
12021	0.293011
12023	0.032560
12027	0.003707
12029	0.000834
12031	0.520326
12033	0.200000
12035	0.026740
12037	0.002371
12039	0.001632
12041	0.000783
12043	0.000130
12045	0.001750
12047	0.001036
12049	0.002109
12051	0.004619
12053	0.106494
12055	0.073914
12057	0.659991
12059	0.002352
12061	0.153036
12063	0.010438
12065	0.000498
12067	0.000109
12069	0.289160
12071	0.567129
12073	0.093574
12075	0.003279
12077	0.000088
12079	0.001707
12081	0.177794
12083	0.274389
12085	0.112615
12086	0.757933
12087	0.020490
12089	0.013167
12091	0.086935
12093	0.014843
12095	0.440368
12097	0.066508
12099	0.975162
12101	0.193682
12103	0.535147
12105	0.247473
12107	0.019948
12109	0.075632
12111	0.135832
12113	0.026024
12115	0.451660
12117	0.130576
12119	0.045425
12121	0.003558
12123	0.002443
12125	0.000616
12127	0.227228
12129	0.000772
12131	0.008110
12133	0.001772
13001	0.005853
13003	0.000336
13005	0.001776
13007	0.000080
13009	0.008075
13011	0.000525
13013	0.013703
13015	0.022991
13017	0.002807
13019	0.000916
13021	0.132061
13023	0.000909
13025	0.000686
13027	0.000920
13029	0.002209
13031	0.018925
13033	0.001718
13035	0.001637
13037	0.000357
13039	0.005862
13043	0.000597
13045	0.030627
13047	0.011104
13049	0.000465
13051	0.144032
13055	0.001107
13057	0.030770
13059	0.085352
13061	0.000274
13063	0.046919
13065	0.000271
13067	0.226083
13069	0.010610
13071	0.007725
13073	0.027875
13075	0.003887
13077	0.023691
13079	0.000262
13081	0.006204
13083	0.000692
13085	0.001367
13087	0.002501
13089	0.263842
13091	0.003498
13093	0.000320
13095	0.044918
13097	0.016786
13099	0.000120
13101	0.000003
13103	0.003260
13105	0.001456
13107	0.002826
13109	0.000450
13111	0.013166
13113	0.034846
13115	0.074869
13117	0.023108
13119	0.004244
13121	0.410208
13123	0.002622
13125	0.000004
13127	0.049242
13129	0.009892
13131	0.001870
13133	0.004966
13135	0.131795
13137	0.004400
13139	0.115084
13141	0.000253
13143	0.001510
13145	0.000644
13147	0.002395
13149	0.000318
13151	0.054483
13153	0.042338
13155	0.000723
13157	0.006648
13159	0.000716
13161	0.002263
13163	0.000702
13165	0.000329
13167	0.000325
13169	0.000407
13171	0.000924
13173	0.000663
13175	0.028438
13177	0.000815
13179	0.007268
13181	0.000352
13183	0.000021
13185	0.043560
13187	0.004196
13189	0.003063
13191	0.000889
13193	0.000486
13195	0.001806
13197	0.000274
13199	0.001800
13201	0.000750
13205	0.000878
13207	0.001664
13209	0.000009
13211	0.000804
13213	0.002070
13215	0.092396
13217	0.014350
13219	0.003385
13221	0.000474
13223	0.005790
13225	0.006530
13227	0.009099
13229	0.001549
13231	0.000029
13233	0.002742
13235	0.001552
13237	0.001924
13239	0.000187
13241	0.002694
13243	0.000273
13245	0.132823
13247	0.027306
13249	0.000159
13251	0.000723
13253	0.001472
13255	0.018516
13257	0.008303
13259	0.000436
13261	0.005115
13263	0.000164
13265	0.000003
13267	0.001075
13269	0.000300
13271	0.000856
13273	0.000416
