CountryName,CountryCode,Indicator.Name,Indicator.Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Guinea,GIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.70,51.70,51.61,51.48,51.34,51.25,51.28,51.44,51.75,52.19,52.75,53.35,53.94,54.48,54.93,55.30,55.59,55.84
"Gambia, The",GMB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,53.56,53.87,54.19,54.52,54.84,55.17,55.50,55.82,56.14,56.46,56.76,57.06,57.34,57.62,57.88,58.13,58.37,58.61
Guinea-Bissau,GNB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.57,50.78,50.96,51.13,51.29,51.45,51.61,51.78,51.97,52.17,52.38,52.61,52.84,53.08,53.32,53.56,53.80,54.03
Equatorial Guinea,GNQ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,47.62,47.69,47.72,47.73,47.74,47.76,47.84,47.98,48.19,48.49,48.87,49.33,49.85,50.40,50.97,51.53,52.08,52.61
Greece,GRC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.59,77.69,78.14,77.84,77.99,77.89,78.39,78.64,78.84,79.04,79.24,79.44,79.44,79.94,80.19,80.39,80.73,80.63
Grenada,GRD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.32,69.49,69.66,69.85,70.04,70.25,70.47,70.71,70.94,71.18,71.41,71.63,71.83,72.01,72.18,72.34,72.48,72.61
Guatemala,GTM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.96,65.53,66.10,66.66,67.22,67.74,68.22,68.65,69.02,69.33,69.61,69.86,70.12,70.39,70.68,71.00,71.33,71.66
Guam,GUM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.38,73.70,74.03,74.38,74.74,75.10,75.45,75.80,76.13,76.45,76.75,77.03,77.31,77.58,77.84,78.10,78.36,78.62
Guyana,GUY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.85,62.98,63.11,63.23,63.35,63.48,63.64,63.82,64.04,64.27,64.53,64.79,65.05,65.29,65.51,65.70,65.88,66.05
High income,HIC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.93,75.38,75.78,75.93,75.99,76.16,76.42,76.52,76.65,77.07,77.18,77.65,77.94,78.13,78.42,78.69,79.02,79.29
"Hong Kong SAR, China",HKG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.68,79.63,80.13,80.13,80.38,80.88,81.42,81.48,81.33,81.78,81.58,82.38,82.33,82.38,82.78,82.98,83.42,83.48
Honduras,HND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.86,69.26,69.63,69.95,70.24,70.48,70.70,70.89,71.08,71.27,71.47,71.70,71.96,72.23,72.53,72.85,73.17,73.49
Heavily indebted poor countries (HIPC),HPC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.37,50.58,50.81,51.08,51.39,51.74,52.15,52.62,53.14,53.70,54.30,54.92,55.54,56.15,56.73,57.28,57.78,58.24
